model,RMSE,MAE,MAPE,sMAPE,RMSE_skill_%_vs_benchmark
SARIMAX,35.380632578690786,27.614639055143613,21.127917962504515,19.527713831179085,22.642068788503156
XGBoost,35.97478112852987,27.301266969273172,19.704520570700065,18.51651314940449,21.34299357989469
Mean,45.73627037925823,33.85622784304934,24.58084161683283,23.555002378433386,0.0
Drift,61.63559194888765,43.350636847478334,25.35876955980452,31.46129984142193,-34.76304787816693
Naive,61.710600499944405,43.41515242475426,25.393877739910725,31.521566172596877,-34.92705021249538
SeasonalNaive-daily,61.769840360705,36.21652194452361,24.725612291846065,20.98963538635403,-35.05657511749827
Chronos(fallback=SeasonalNaive),61.769840360705,36.21652194452361,24.725612291846065,20.98963538635403,-35.05657511749827
SeasonalNaive-weekly,73.5108543208078,43.925399139345664,29.465522081575863,25.204016314239635,-60.727697539031446
