model,RMSE,MAE,MAPE,sMAPE
XGBoost,377.19397577936275,296.67441431681317,48.7293754692649,37.24430518077074
SARIMAX,482.13795458383197,367.44152991850245,51.3345899476998,48.44370349477165
Chronos,499.0410069314273,312.2830804189046,28.887467036088015,36.658393811279915
Mean,502.1666368840887,370.4008471116554,47.45570686235805,48.52557190127313
SeasonalNaive-weekly,561.7791677637515,359.5833333333333,33.729236071462296,46.43207558484963
SeasonalNaive-daily,652.9867277875306,364.1666666666667,45.177863316862435,33.6138732742286
Naive,717.849798588349,652.5,145.08835833449305,72.44294125713974
Drift,720.1519615321819,654.5091883614089,145.58703052202804,72.56025282843792
